aircraft_id,airline_id,airline_name,registration_number,manufacturer,aircraft_model,aircraft_family,seating_capacity,manufacture_year,aircraft_age,fuel_efficiency,aircraft_status
143,6,Qatar Airways,A7-008,Airbus,A350-900,Wide Body,320,2022,4,3.56,Active
144,6,Qatar Airways,A7-009,Airbus,A350-900,Wide Body,320,2025,1,3.32,Active
145,6,Qatar Airways,A7-010,Airbus,A350-900,Wide Body,320,2024,2,3.46,Active
146,6,Qatar Airways,A7-011,Boeing,B777-300ER,Wide Body,360,2023,3,2.9,Active
147,6,Qatar Airways,A7-012,Boeing,B777-300ER,Wide Body,360,2016,10,3.11,Active
148,6,Qatar Airways,A7-013,Boeing,B787-8 Dreamliner,Wide Body,290,2012,14,3.44,Active
149,6,Qatar Airways,A7-014,Boeing,B777-300ER,Wide Body,360,2008,18,3.02,Active
150,6,Qatar Airways,A7-015,Boeing,B787-8 Dreamliner,Wide Body,290,2022,4,3.31,Active
151,6,Qatar Airways,A7-016,Airbus,A350-900,Wide Body,320,2025,1,3.4,Active
152,6,Qatar Airways,A7-017,Boeing,B787-8 Dreamliner,Wide Body,290,2021,5,3.32,Active
153,6,Qatar Airways,A7-018,Boeing,B777-300ER,Wide Body,360,2017,9,3.13,Active
154,6,Qatar Airways,A7-019,Boeing,B777-300ER,Wide Body,360,2005,21,2.91,Active
155,6,Qatar Airways,A7-020,Airbus,A350-900,Wide Body,320,2018,8,3.47,Active
156,6,Qatar Airways,A7-021,Airbus,A350-900,Wide Body,320,2017,9,3.64,Active
157,6,Qatar Airways,A7-022,Airbus,A350-900,Wide Body,320,2021,5,3.44,Active
158,6,Qatar Airways,A7-023,Boeing,B787-8 Dreamliner,Wide Body,290,2024,2,3.49,Active
159,6,Qatar Airways,A7-024,Airbus,A350-900,Wide Body,320,2016,10,3.35,Maintenance
160,6,Qatar Airways,A7-025,Airbus,A350-900,Wide Body,320,2025,1,3.42,Active
